2017-06-07 17:18:30,058 [Worker-105] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/com/sun/jersey/jersey-server/1.8/jersey-server-1.8.jar
2017-06-07 17:18:30,252 [Worker-105] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/com/sun/jersey/jersey-core/1.8/jersey-core-1.8.jar
2017-06-07 17:18:32,947 [Worker-105] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/com/sun/jersey/jersey-core/1.8/jersey-core-1.8.jar
2017-06-07 17:18:34,052 [Worker-105] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-07 17:18:34,054 [Worker-105] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-07 17:18:34,056 [Worker-105] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-07 17:18:34,063 [Worker-105] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Snap2\WhirpoolNewsletter\com.mkyong.rest\src\test\resources
2017-06-07 17:18:34,063 [Worker-105] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of com.mkyong.rest
2017-06-07 17:18:34,064 [Worker-105] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for com.mkyong.rest
2017-06-07 17:18:34,069 [Worker-105] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-07 17:18:35,208 [Worker-113] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-07 17:18:35,209 [Worker-113] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-07 17:18:35,210 [Worker-113] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-07 17:18:35,211 [Worker-113] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Snap2\WhirpoolNewsletter\com.mkyong.rest\src\test\resources
2017-06-07 17:18:58,569 [Worker-103] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-07 17:18:58,571 [Worker-103] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-06-07 17:18:58,624 [Worker-103] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-07 17:18:58,625 [Worker-103] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Snap2\WhirpoolNewsletter\com.mkyong.rest\src\test\resources
2017-06-07 17:19:17,034 [Worker-116] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-07 17:19:17,050 [Worker-116] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-06-07 17:19:17,052 [Worker-116] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-07 17:19:17,054 [Worker-116] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Snap2\WhirpoolNewsletter\com.mkyong.rest\src\test\resources
2017-06-07 17:19:57,856 [Worker-105] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-07 17:19:57,857 [Worker-105] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-07 17:19:57,858 [Worker-105] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-07 17:19:57,859 [Worker-105] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Snap2\WhirpoolNewsletter\com.mkyong.rest\src\test\resources
2017-06-07 17:21:02,358 [JavaFX Application Thread] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2017-06-07 17:21:05,889 [Worker-109] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\Snap2\WhirpoolNewsletter\com.mkyong.rest
2017-06-07 17:21:05,889 [Worker-109] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B 
2017-06-07 17:22:36,071 [Worker-114] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\Snap2\WhirpoolNewsletter\com.mkyong.rest
2017-06-07 17:22:36,071 [Worker-114] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B install
2017-06-07 17:22:41,006 [Worker-113] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-07 17:22:41,007 [Worker-113] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-07 17:22:41,008 [Worker-113] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-07 17:22:41,008 [Worker-113] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Snap2\WhirpoolNewsletter\com.mkyong.rest\src\test\resources
2017-06-08 12:06:43,741 [Worker-386] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-08 12:06:44,082 [Worker-386] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-06-08 12:06:44,085 [Worker-386] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-08 12:06:44,086 [Worker-386] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Snap2\WhirpoolNewsletter\com.mkyong.rest\src\test\resources
2017-06-08 12:20:57,160 [Worker-406] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-08 12:20:57,162 [Worker-406] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
